problems,llm_used,difficulty,run_times
twoSum_easy.py,Codex,easy,10.016465187072754
twoSum_easy.py,Copilot,easy,9.616006851196289
sortedArray2HeightBalancedBST_easy.py,Codex,easy,24.842470169067383
sortedArray2HeightBalancedBST_easy.py,Copilot,easy,25.06354308128357
roman2integer_easy.py,Codex,easy,11.14006233215332
roman2integer_easy.py,Copilot,easy,14.17826795578003
sqrt(x)_easy.py,Codex,easy,3.782604217529297
sqrt(x)_easy.py,Copilot,easy,3.325679302215576
happyNumber_easy.py,Codex,easy,21.21514391899109
happyNumber_easy.py,Copilot,easy,47.12513518333435
ransomNote_easy.py,Codex,easy,29.94309091567993
ransomNote_easy.py,Copilot,easy,8.947226285934448
mergeTwoSortedLists_easy.py,Codex,easy,23.473933219909668
mergeTwoSortedLists_easy.py,Copilot,easy,14.051078796386719
palindromeNumber_easy.py,Codex,easy,7.934300184249878
palindromeNumber_easy.py,Copilot,easy,6.885913848876953
lengthOfLastWord_easy.py,Codex,easy,9.89610481262207
lengthOfLastWord_easy.py,Copilot,easy,5.307260274887085
isToeplitzMatrix_easy.py,Codex,easy,9.784449100494385
isToeplitzMatrix_easy.py,Copilot,easy,9.927421808242798
add2Numbers_medium.py,Codex,medium,5.823170900344849
add2Numbers_medium.py,Copilot,medium,5.577354907989502
search2Dmatrix_medium.py,Codex,medium,10.089756965637207
search2Dmatrix_medium.py,Copilot,medium,10.33118987083435
longestPalindromicSubstring_medium.py,Codex,medium,16.04509401321411
longestPalindromicSubstring_medium.py,Copilot,medium,9.955682754516602
jumpGame_medium.py,Codex,medium,8.711732149124146
jumpGame_medium.py,Copilot,medium,8.64856505393982
sortColors_medium.py,Codex,medium,0.7179901599884033
sortColors_medium.py,Copilot,medium,0.696213960647583
validSudoku_medium.py,Codex,medium,15.065865755081177
validSudoku_medium.py,Copilot,medium,22.82226014137268
zigzagConversion_medium.py,Codex,medium,22.650120973587036
zigzagConversion_medium.py,Copilot,medium,20.7941312789917
combinationSum2_medium.py,Codex,medium,10.485104084014893
combinationSum2_medium.py,Copilot,medium,8.774240970611572
editDistance_medium.py,Codex,medium,22.02637791633606
editDistance_medium.py,Copilot,medium,21.856311082839966
string2integer_medium.py,Codex,medium,16.744088172912598
string2integer_medium.py,Copilot,medium,12.968991994857788
uniquePaths3_hard.py,Codex,hard,12.582512140274048
uniquePaths3_hard.py,Copilot,hard,14.5751371383667
leetcodeIPO_hard.py,Codex,hard,14.801476001739502
leetcodeIPO_hard.py,Copilot,hard,19.54875087738037
longestIncreasingPathInAMatrix_hard.py,Codex,hard,13.498119115829468
longestIncreasingPathInAMatrix_hard.py,Copilot,hard,15.816386222839355
wordLadder_hard.py,Codex,hard,56.10898208618164
wordLadder_hard.py,Copilot,hard,54.5225350856781
largestRectangleInHistogram_hard.py,Codex,hard,18.35075092315674
largestRectangleInHistogram_hard.py,Copilot,hard,19.141615867614746
permutationSequence_hard.py,Codex,hard,2.228410005569458
permutationSequence_hard.py,Copilot,hard,20.599005937576294
countVowelsPermutation_hard.py,Codex,hard,32.91221475601196
countVowelsPermutation_hard.py,Copilot,hard,32.637852907180786
smallestSufficientTeam_hard.py,Codex,hard,7.121571779251099
smallestSufficientTeam_hard.py,Copilot,hard,7.955489873886108
medianOfTwoSortedArrays_hard.py,Codex,hard,12.714167833328247
medianOfTwoSortedArrays_hard.py,Copilot,hard,4.042920112609863
burstBalloons_hard.py,Codex,hard,10.98933720588684
burstBalloons_hard.py,Copilot,hard,7.977786064147949
